FID_EXT,Districts,RX1,CWD,Both
0,Nicobar Islands,0,0,0
1,North and Middle Andaman,0,0,0
2,South Andaman,0,0,0
3,Anantapur,0,0,0
4,Chittoor,0.077260354,0.154520708,0.115890531
5,East Godavari,1.422573314,0.853543989,1.138058651
6,Guntur,0.394497477,0.197248739,0.295873108
7,Krishna,0.96808502,0.322695007,0.645390014
8,Kurnool,0.049777805,0.049777805,0.049777805
9,Nellore,0.193916508,0.193916508,0.193916508
10,Prakasam,0.148053974,0.049351325,0.098702649
11,Srikakulam,1.375768748,0.687884374,1.031826561
12,Visakhapatnam,0.866140812,0.866140812,0.866140812
13,Vizianagaram,0.782946557,0.587209917,0.685078237
14,West Godavari,1.702352211,0.567450737,1.134901474
15,Y.S.R.,0.077368849,0.025789616,0.051579232
16,Anjaw,NA,NA,NA
17,Changlang,0,0,0
18,Dibang Valley,0,0,0
19,East Kameng,0,0,0
20,East Siang,0,0,0
21,Kurung Kumey,0,0,0
22,Lohit,0,0,0
23,Longding,0,0,0
24,Lower Dibang Valley,0,0,0
25,Lower Subansiri,0,0,0
26,Namsai,0,0,0
27,Papum Pare,0,0,0
28,Tawang,0,0,0
29,Tirap,0,0,0
30,Upper Siang,0,0,0
31,Upper Subansiri,0,0,0
32,West Kameng,0,0,0
33,West Siang,0,0,0
34,Baksa,0,1.559391983,0.779695991
35,Barpeta,0,3.186171348,1.593085674
36,Bongaigaon,1.337765995,4.013297984,2.675531989
37,Cachar,2.511678083,3.767517124,3.139597604
38,Chirang,0,0.90122054,0.45061027
39,Darrang,0,2.766577414,1.383288707
40,Dhemaji,0,0.705869888,0.352934944
41,Dhubri,3.922173397,3.922173397,3.922173397
42,Dibrugarh,0,0.999583743,0.499791872
43,Dima Hasao,0,0.029164916,0.014582458
44,Goalpara,0,1.636978709,0.818489355
45,Golaghat,0,1.146500035,0.573250018
46,Hailakandi,0.372725026,1.490900105,0.931812565
47,Jorhat,0,0.69776394,0.34888197
48,Kamrup,1.77326121,1.77326121,1.77326121
49,Kamrup Metropolitan,0.291493189,0.874479568,0.582986378
50,Karbi Anglong,0,0.120082304,0.060041152
51,Karimganj,0,2.715972508,1.357986254
52,Kokrajhar,0.650642171,0.650642171,0.650642171
53,Lakhimpur,0,1.521554838,0.760777419
54,Morigaon,0,2.578038338,1.289019169
55,Nagaon,0,2.821907049,1.410953524
56,Nalbari,0,5.4891851,2.74459255
57,Sivasagar,0,1.416205477,0.708102738
58,Sonitpur,0,0.861946617,0.430973308
59,Tinsukia,0,1.000322604,0.500161302
60,Udalguri,0,0.880465308,0.440232654
61,Araria,2.080116341,2.080116341,2.080116341
62,Arwal,0,0.79497042,0.39748521
63,Aurangabad,0,1.771309288,0.885654644
64,Banka,0,1.950259415,0.975129708
65,Begusarai,2.109045694,2.109045694,2.109045694
66,Bhagalpur,1.655019476,2.482529214,2.068774345
67,Bhojpur,0,0,0
68,Buxar,0,2.194114376,1.097057188
69,Darbhanga,0,2.099981069,1.049990534
70,Gaya,0,1.46384965,0.731924825
71,Gopalganj,2.660518928,2.660518928,2.660518928
72,Jamui,1.539846369,3.079692738,2.309769554
73,Jehanabad,0,0.702074129,0.351037065
74,Kaimur,0,2.269289866,1.134644933
75,Katihar,3.523244894,3.523244894,3.523244894
76,Khagaria,4.27177394,4.27177394,4.27177394
77,Kishanganj,0.99038761,0.99038761,0.99038761
78,Lakhisarai,2.789929689,2.789929689,2.789929689
79,Madhepura,0.856518128,1.713036256,1.284777192
80,Madhubani,1.080153894,2.160307789,1.620230841
81,Munger,0,2.207322089,1.103661044
82,Muzaffarpur,1.760697987,1.760697987,1.760697987
83,Nalanda,0.740695106,1.234491843,0.987593475
84,Nawada,0,1.921645944,0.960822972
85,Pashchim Champaran,2.641767882,2.641767882,2.641767882
86,Patna,0,0,0
87,Purba Champaran,2.768985947,2.768985947,2.768985947
88,Purnia,1.941343794,2.329612553,2.135478174
89,Rohtas,0,2.377902715,1.188951357
90,Saharsa,0,2.219632715,1.109816357
91,Samastipur,1.419049979,2.128574968,1.773812473
92,Saran,1.951867424,1.951867424,1.951867424
93,Sheikhpura,1.280241034,1.706988046,1.49361454
94,Sheohar,1.253482455,2.506964909,1.880223682
95,Sitamarhi,0,2.915590882,1.457795441
96,Siwan,3.230768145,3.230768145,3.230768145
97,Supaul,0,1.89689876,0.94844938
98,Vaishali,1.531532388,1.531532388,1.531532388
99,Chandigarh,0,0.808823529,0.404411765
100,Balod,0.202250421,0.202250421,0.202250421
101,Baloda Bazar,0.16567953,0.33135906,0.248519295
102,Balrampur,0,0,0
103,Bastar,0.052714786,0.158144359,0.105429573
104,Bemetara,0,0,0
105,Bijapur,0,0,0
106,Bilaspur,0,0.716629704,0.358314852
107,Dantewada,0,0,0
108,Dhamtari,0,0.204797538,0.102398769
109,Durg,0,1.005530306,0.502765153
110,Gariaband,0,0,0
111,Janjgir-Champa,0,1.237387068,0.618693534
112,Jashpur,0,0,0
113,Kabeerdham,0.271553018,0.271553018,0.271553018
114,Kondagaon,0,0,0
115,Korba,0.098631216,0.197262431,0.147946824
116,Koriya,0,0,0
117,Mahasamund,0.033418836,0.033418836,0.033418836
118,Mungeli,0,0.559215343,0.279607671
119,Narayanpur,0,0,0
120,Raigarh,0.002214357,0.00664307,0.004428713
121,Raipur,0,1.01080073,0.505400365
122,Rajnandgaon,0,0.266905113,0.133452556
123,Sukma,0,0,0
124,Surajpur,0,0.310609331,0.155304666
125,Surguja,0.212999327,0.425998654,0.319498991
126,Uttar Bastar Kanker,0,0,0
127,Dadra and Nagar Haveli,1.24831694,1.24831694,1.24831694
128,Daman,1.441176471,1.441176471,1.441176471
129,Diu,0,0,0
130,North Goa,0.667674084,0.667674084,0.667674084
131,South Goa,0.42650213,0.42650213,0.42650213
132,Ahmadabad,0.15352102,0.15352102,0.15352102
133,Amreli,0,0,0
134,Anand,0,1.273575358,0.636787679
135,Aravalli,1.020346803,1.020346803,1.020346803
136,Banas Kantha,0.734813984,0.489875989,0.612344987
137,Bharuch,0,0.406342066,0.203171033
138,Bhavnagar,0.755891373,0.755891373,0.755891373
139,Botad,0,0,0
140,Chhota Udaipur,0.06525307,0.06525307,0.06525307
141,Dahod,2.184922371,2.184922371,2.184922371
142,Devbhumi Dwarka,0.076389724,0.076389724,0.076389724
143,Gandhinagar,0.76727435,0.76727435,0.76727435
144,Gir Somnath,0.932387159,0.932387159,0.932387159
145,Jamnagar,0.550701027,0.183567009,0.367134018
146,Junagadh,0.223730821,0.223730821,0.223730821
147,Kachchh,0.054444527,0,0.027222263
148,Kheda,1.153843805,1.153843805,1.153843805
149,Mahesana,0.974757727,0.974757727,0.974757727
150,Mahisagar,1.690864149,1.690864149,1.690864149
151,Morbi,0.016708559,0.00835428,0.012531419
152,Narmada,0,0,0
153,Navsari,2.799080963,2.799080963,2.799080963
154,Panch Mahals,1.720955866,1.720955866,1.720955866
155,Patan,0.642649265,0.321324632,0.481986949
156,Porbandar,0.430638434,0.430638434,0.430638434
157,Rajkot,0.892280521,0.446140261,0.669210391
158,Sabar Kantha,0.545359381,0.545359381,0.545359381
159,Surat,0.566349268,0.566349268,0.566349268
160,Surendranagar,0.135856094,0.101892071,0.118874083
161,Tapi,0.077105224,0.154210448,0.115657836
162,The Dangs,0,0,0
163,Vadodara,0.574666454,0.574666454,0.574666454
164,Valsad,1.639906894,1.639906894,1.639906894
165,Ambala,0,1.382672304,0.691336152
166,Bhiwani,0,0,0
167,Faridabad,0.575582129,0.575582129,0.575582129
168,Fatehabad,0,0,0
169,Gurgaon,0,1.104241852,0.552120926
170,Hisar,0.333847596,0,0.166923798
171,Jhajjar,0,1.2179952,0.6089976
172,Jind,2.039043065,0,1.019521533
173,Kaithal,0.259038426,0,0.129519213
174,Karnal,0,0,0
175,Kurukshetra,0,1.035559692,0.517779846
176,Mahendragarh,0,0,0
177,Mewat,0,0,0
178,Palwal,1.757067534,0,0.878533767
179,Panchkula,0,2.02832535,1.014162675
180,Panipat,0,0,0
181,Rewari,0,0.963561247,0.481780623
182,Rohtak,0,0,0
183,Sirsa,0,0,0
184,Sonipat,0,0,0
185,Yamunanagar,0.495469024,0.990938048,0.743203536
186,Bilaspur,0,1.367435211,0.683717605
187,Chamba,0,0,0
188,Hamirpur,0,2.402879699,1.20143985
189,Kangra,0.322802834,0.645605669,0.484204251
190,Kinnaur,0,0,0
191,Kullu,0,0,0
192,Lahul & Spiti,0,0,0
193,Mandi,0,0.778073161,0.389036581
194,Shimla,0,0.071161595,0.035580797
195,Sirmaur,0.032405311,0.032405311,0.032405311
196,Solan,0,0.397527281,0.198763641
197,Una,0.530424602,1.591273807,1.060849205
198,Anantnag,NA,NA,NA
199,Badgam,NA,NA,NA
200,Bandipore,NA,NA,NA
201,Baramulla,NA,NA,NA
202,Doda,0,0,0
203,Ganderbal,NA,NA,NA
204,Jammu,0,0,0
205,Kargil,0,0,0
206,Kathua,0,0,0
207,Kishtwar,0,0,0
208,Kulgam,NA,NA,NA
209,Kupwara,NA,NA,NA
210,Leh (Ladakh),0,0,0
211,Poonch,NA,NA,NA
212,Pulwama,NA,NA,NA
213,Rajouri,0,0,0
214,Ramban,0,0,0
215,Reasi,0,0,0
216,Samba,0,0,0
217,Shupiyan,NA,NA,NA
218,Srinagar,NA,NA,NA
219,Udhampur,0,0,0
220,Bokaro,0,1.058671402,0.529335701
221,Chatra,0,1.195276136,0.597638068
222,Deoghar,0,1.425223218,0.712611609
223,Dhanbad,1.31142113,1.31142113,1.31142113
224,Dumka,2.112425184,2.112425184,2.112425184
225,Garhwa,1.439931878,1.439931878,1.439931878
226,Giridih,1.323581959,2.647163917,1.985372938
227,Godda,1.331572611,1.775430148,1.55350138
228,Gumla,0,0.314370083,0.157185041
229,Hazaribagh,1.082497528,1.082497528,1.082497528
230,Jamtara,1.528097635,1.528097635,1.528097635
231,Khunti,0.012498874,0.024997749,0.018748311
232,Kodarma,0,1.021568099,0.510784049
233,Latehar,0.163245783,0.326491566,0.244868675
234,Lohardaga,1.084343399,1.084343399,1.084343399
235,Pakur,1.4868885,1.4868885,1.4868885
236,Palamu,0,1.676019514,0.838009757
237,Pashchimi Singhbhum,0,0.331096075,0.165548037
238,Purbi Singhbhum,1.01445468,1.01445468,1.01445468
239,Ramgarh,0.489847642,0.979695284,0.734771463
240,Ranchi,0.606531083,1.213062166,0.909796625
241,Sahibganj,2.788702485,2.788702485,2.788702485
242,Saraikela-kharsawan,0.982623747,0.982623747,0.982623747
243,Simdega,0,0,0
244,Bagalkot,0,0,0
245,Bangalore,0,0,0
246,Bangalore Rural,0,0,0
247,Belgaum,0.250224473,1.000897891,0.625561182
248,Bellary,0,0,0
249,Bidar,0.156186417,0.312372834,0.234279625
250,Bijapur,0,0,0
251,Chamrajnagar,0,0,0
252,Chikballapura,0,0,0
253,Chikmagalur,0,0,0
254,Chitradurga,0,0,0
255,Dakshina Kannada,1.313021568,1.313021568,1.313021568
256,Davanagere,0,0,0
257,Dharwad,0,0.866773359,0.43338668
258,Gadag,0,0.269696083,0.134848042
259,Gulbarga,0,0.2903054,0.1451527
260,Hassan,0,0,0
261,Haveri,0,0,0
262,Kodagu,0.053139625,0.053139625,0.053139625
263,Kolar,0,0,0
264,Koppal,0,0,0
265,Mandya,0,0.4539702,0.2269851
266,Mysore,0,0.664922635,0.332461318
267,Raichur,0,0,0
268,Ramanagara,0,0.431066278,0.215533139
269,Shimoga,0.107763483,0.215526965,0.161645224
270,Tumkur,0,0,0
271,Udupi,1.347910519,1.347910519,1.347910519
272,Uttara Kannada,0.052832242,0.07044299,0.061637616
273,Yadgir,0,0,0
274,Alappuzha,1.157001828,2.314003656,1.735502742
275,Ernakulam,2.514985092,2.514985092,2.514985092
276,Idukki,0.126464514,0.252929028,0.189696771
277,Kannur,3.239059574,3.239059574,3.239059574
278,Kasaragod,0,3.538873662,1.769436831
279,Kollam,1.924375388,1.924375388,1.924375388
280,Kottayam,0,3.742435572,1.871217786
281,Kozhikode,3.879636933,3.879636933,3.879636933
282,Malappuram,3.1379516,3.1379516,3.1379516
283,Palakkad,0,2.938203323,1.469101661
284,Pathanamthitta,0.354162954,1.416651816,0.885407385
285,Thiruvananthapuram,0,2.449476747,1.224738373
286,Thrissur,1.344328236,2.688656472,2.016492354
287,Wayanad,0.28151599,0.56303198,0.422273985
288,Lakshadweep,0,0,0
289,Agar Malwa,0,0,0
290,Alirajpur,0.224401498,0.224401498,0.224401498
291,Anuppur,0.136845911,0.410537732,0.273691821
292,Ashoknagar,0.083457393,0.166914785,0.125186089
293,Balaghat,0.067337877,0.101006815,0.084172346
294,Barwani,0.474163976,0.474163976,0.474163976
295,Betul,0,0,0
296,Bhind,0,0.829242799,0.4146214
297,Bhopal,1.633094821,1.633094821,1.633094821
298,Burhanpur,1.153727789,1.153727789,1.153727789
299,Chhatarpur,0,0.262790305,0.131395153
300,Chhindwara,0,0.305691774,0.152845887
301,Damoh,0.214854177,0.214854177,0.214854177
302,Datia,0.220174399,0.440348798,0.330261599
303,Dewas,0.3269114,0.6538228,0.4903671
304,Dhar,0,0.728496444,0.364248222
305,Dindori,0,0.458977879,0.22948894
306,East Nimar,0.373447793,0.373447793,0.373447793
307,Guna,0,0,0
308,Gwalior,0,1.105888145,0.552944073
309,Harda,0,0,0
310,Hoshangabad,0.124697803,0.124697803,0.124697803
311,Indore,0,0.592955245,0.296477623
312,Jabalpur,0.446026117,0.892052234,0.669039176
313,Jhabua,1.635035688,1.635035688,1.635035688
314,Katni,0.197779064,0.296668596,0.24722383
